LineID,LineName,LineNoTemp,LineNo
11110034,271번(면목동~상암동),271번,271
11110158,1213번(국민대~면목동),1213번,1213
11110173,2013번(면목동~신당역),2013번,2013
11110372,N62번(면목동차고지~양천공영차고지),N62번,N62
11110060,605번(강서공영차고지~후암동),605번,605
11110290,6631번(강서공영차고지~영등포역),6631번,6631
11110291,6632번(강서공영차고지~당산역),6632번,6632
11110423,N65(개화공영차고지~범일차고지),N65,N65
11110085,643번(양천차고지~강남역),643번,643
11110088,5515번(신동아아파트~청림동현대아파트),5515번,5515
11110244,5519번(용천사~우방아파트),5519번,5519
11110369,N61번(양천공영차고지~상계동차고지),N61번,N61
11410004,6515번(양천차고지~삼막사거리),6515번,6515
91000025,8541번(호압사~강남역),8541번,8541
41110005,500번(석수역~을지로입구),500번,500
41110044,5531번(군포공영차고지~노량진),5531번,5531
41110050,5623번(군포 공영차고지~여의도),5623번,5623
11110175,2015번(신내공영차고지~동대문운동장),2015번,2015
11110358,2016번(중랑차고지~효창동),2016번,2016
11110418,242번(중랑공영차고지~개포시영아파트),242번,242
11110979,240번(중랑공영차고지~신사역사거리),240번,240
11110999,241번(중랑차고지~논현역),241번,241
11110066,651번(방화동~서울대),651번,651
11110288,6629번(방화동~영등포),6629번,6629
11110294,6712번(방화동~대흥사거리),6712번,6712
11110348,672번(방화동~이대후문),672번,672
11110383,654번(방화동~노들역),654번,654
11110812,6648(방화동~양천구청),6648,6648
11110410,3012번(송파차고지~동부이촌동),3012번,3012
11110965,3425번(송파차고지~삼성역),3425번,3425
11110966,320번(송파차고지~상봉터미널),320번,320
41110033,4419번(송파차고지~압구정역),4419번,4419
41110106,9408번(성남 분당~영등포),9408번,9408
41110130,9401번(구미동~서울역),9401번,9401
41110137,9404번(분당구미~신사역),9404번,9404
41110219,462번(송파차고지~영등포),462번,462
11110351,333번(송파차고지~올림픽공원),333번,333
41110087,440번(송파공영차고지~압구정동),440번,440
41110218,407번(송파공영차고지~동대문),407번,407
11110007,106번(의정부~동대문),106번,106
11110379,2312번(강동공영차고지~중랑공영차고지),2312번,2312
11410002,370번(강동공영차고지~충정로역),370번,370
41110001,107번(송현동~동대문),107번,107
41110002,201번(구리~서울역),201번,201
41110051,5624번(군포버스공영차고지~구로디지탈단지역),5624번,5624
41110092,542번(군포버스공영차고지~신사역),542번,542
41110214,341번(하남공영차고지~강남역),341번,341
41110216,108번(양주 덕정~종로5가),108번,108
11110376,463(염곡동~국회의사당),463,463
11110416,4211(염곡동~한양대동문앞),4211,4211
11110027,171번(국민대~상암동),171번,171
11110171,1711번(국민대~공덕동),1711번,1711
11110270,6514번(양천공영차고지~서울대),6514번,6514
11110276,6617번(양천차고지~목동우성아파트),6617번,6617
11110279,6620번(양천공용차고지~당산역),6620번,6620
11110371,N62번(양천공영차고지~면목동차고지),N62번,N62
11110988,6657번(양천공용차고지~가양동),6657번,6657
41110003,302번(성남~동대문),302번,302
41110004,303번(성남~신설동),303번,303
41110113,9403번(성남분당~을지로5가),9403번,9403
11110002,101번(화계사~동대문),101번,101
11110020,151번(우이동~중앙대),151번,151
11110021,152번(화계사~삼막사사거리),152번,152
11110089,"8111번(통학,화계사~미아삼거리역)",8111번,8111
11110121,"1115번(수유중학교,혜화여고~미아삼거리역)",1115번,1115
11110378,N15번(우이동~사당역),N15번,N15
11110413,121번(화계사~서울숲),121번,121
11110948,1165번(화계사~미아삼거리역),1165번,1165
11110998,153번(우이동~당곡사거리),153번,153
11110009,"110번(A,고려대방향,정릉~정릉)",110A번,110A
11110014,143번(정릉~개포동),143번,143
11110024,162번(정릉~여의도),162번,162
11110072,"110번(B,국민대방향,정릉~정릉)",110B번,110B
11110113,1014번(정릉~신당동),1014번,1014
11110116,1020번(정릉~교보문고),1020번,1020
11110119,1113번(정릉~월곡역),1113번,1113
11110915,1114번(정릉~길음역),1114번,1114
11111159,707(대화동~서울역),707,707
41110041,771(대화동~디지털미디어시티역),771,771
41110079,7728번(대화동~신촌),7728번,7728
41110147,700번(대화동~서울역),700번,700
11110250,5525번(시흥동~보라매공원),5525번,5525
11110258,5617번(시흥~구로디지털단지역),5617번,5617
11110260,5619번(시흥동~신도림역),5619번,5619
11110261,5620번(시흥동~선유도역),5620번,5620
11110262,5621번(삼익아파트~구로공단역),5621번,5621
11110390,8551번(봉천역~노량진역),8551번,8551
11110424,N65(범일차고지~개화공영차고지),N65,N65
11110993,5537번(시흥동~가산디지털단지역),5537번,5537
41110008,505번(노온사동~서울역),505번,505
41110040,5413번(시흥~고속터미널),5413번,5413
41110054,5627번(노온사동~구로디지털단지역),5627번,5627
41110064,6637번(광명 노온사동~목동),6637번,6637
41110210,5633번(노온사동~순복음교회),5633번,5633
11110256,5615번(난곡~여의도),5615번,5615
11110259,5618번(구로동~구로동),5618번,5618
11110269,6512번(구로동~서울대),6512번,6512
11110343,670번(온수동~디지털미디어시티역),670번,670
11110990,"5522번(A,난곡방향,난곡~난곡)",5522A번,5522A
11110991,"5522번(B,호암방향,난곡~난곡)",5522B번,5522B
11110997,5523번(보성운수기종점~서울대입구역),5523번,5523
41110006,503번(광명공영차고지~서울역),503번,503
41110047,5534번(광명공영차고지~여의도),5534번,5534
41110057,5630번(광명공영차고지~목동역),5630번,5630
41110059,5714번(광명공영차고지~이대입구),5714번,5714
11110032,262번(중랑공영차고지~여의도),262번,262
11110035,272번(면목동~남가좌동),272번,272
11110074,03번(남산서울타워~남산서울타워),03번,3
11110077,2230번(면목동~경동시장),2230번,2230
11110178,2112번(면목동~성북동),2112번,2112
11110179,2211번(면목동~회기역),2211번,2211
11110193,2233번(면목동~옥수동),2233번,2233
11110194,2311번(중랑차고지~문정동),2311번,2311
11110330,05번(남산서울타워~남산서울타워),05번,5
11110380,2312번(중랑공영차고지~강동공영차고지),2312번,2312
11110401,02번(남산서울타워~동대입구),02번,2
11110044,400번(염곡동~시청),400번,400
11110336,421번(염곡동~옥수동),421번,421
11110337,405번(염곡동~종로1가),405번,405
11110010,130번(우이동~길동),130번,130
11110015,144번(우이동~교대),144번,144
11110003,102번(상계동~동대문),102번,102
11110017,146번(상계주공7단지~강남역),146번,146
11110136,1129번(상계현대2차아파트~창동역동측),1129번,1129
11110137,1130번(청백아파트1단지~석계역1번출구.B),1130번,1130
11110140,1133번(염광고교(수유)~염광고교(석계)),1133번,1133
11110144,1137번(상계동~미아사거리),1137번,1137
11110147,1140번(중계동~광운대),1140번,1140
11110169,1224번(상계동~청량리),1224번,1224
11110370,N61번(상계동차고지~양천공영차고지),N61번,N61
11110386,173번(월계동~연세대),173번,173
11110904,1143번(수락리버시티~봉화산역),1143번,1143
11110968,103번(삼화상운~서울역),103번,103
11110031,261번(장위동~여의도환승센터),261번,261
11110172,2012번(신내공영차고지~동대문역사문화공원),2012번,2012
11110331,1122번(상진운수차고지~원자력병원),1122번,1122
11110375,2115번(중랑공영차고지~서경대),2115번,2115
11110302,7018번(북가좌동~광교),7018번,7018
11110320,7719번(북가좌동~녹번역),7719번,7719
11110388,8761번(광흥창역~국회의사당역),8761번,8761
41110215,721번(북가좌동~건대입구역),721번,721
11110037,301번(장지공영차고지~혜화동),301번,301
11110045,401번(장지공영차고지~서울역),401번,401
11110346,3011번(장지공영차고지~한남동),3011번,3011
11110420,3426번(서울버스종점~청담동),3426번,3426
11110038,340번(강동차고지~무지개아파트),340번,340
11110198,3212번(강동공영차고지~강변역),3212번,3212
11110211,3411번(강동공영차고지~삼성역),3411번,3411
11110212,3412번(강동공영차고지~우면동),3412번,3412
11110213,3413번(강일동공영차고지~수서경찰서),3413번,3413
11110350,3318번(강동차고지~미사강변도시~마천동),3318번,3318
11110367,N30(강동공영차고지~서울역환승센터),N30,N30
11110384,342번(강동차고지~압구정로데오역),342번,342
11110409,3321번(강동차고지~강동구청),3321번,3321
11110048,406번(개포동~서울역),406번,406
11110049,420번(개포동~청량리),420번,420
11110052,472번(개포동~신촌),472번,472
11110356,4412(개포동~삼성의료원),4412,4412
11110422,4435번(개포동~사당역),4435번,4435
11110920,4432번(개포동~옛골),4432번,4432
11110005,104번(강북청소년수련관난나~숭례문),104번,104
11110125,1119번(강북청소년수련관난나~녹천역),1119번,1119
11110133,1126번(강북청소년수련관난나~안방학동),1126번,1126
11110069,751번(구산동~상도동),751번,751
11110070,752번(구산동~노량진),752번,752
11110071,753번(갈현동~상도동),753번,753
11110306,7022번(구산동~서울역),7022번,7022
11110310,7613번(구산동~여의도),7613번,7613
11110321,7720번(구산동~신촌),7720번,7720
11110354,7212번(은평차고지~극동그린아파트앞),7212번,7212
11110389,8771번(구산중학교~녹번역),8771번,8771
11110902,7715번(은평차고지~연신내역),7715번,7715
41110011,"702번(A,서오릉방향,서오릉~종로1가)",702A번,702A
41110086,7025번(은평차고지~종로),7025번,7025
41110102,9701번(가좌동~서울역),9701번,9701
41110117,9707번(고양 가좌동~영등포역),9707번,9707
41110206,"702번(B,용두초교방향,서오릉~종로1가)",702B번,702B
91000033,8774번(구산동~서대문구청),8774번,8774
11110373,6640A번(양천차고지~양천차고지),6640A번,6640A
11110374,6640B번(양천차고지~양천차고지),6640B번,6640B
11110908,6613(양천공영차고지~대림역),6613,6613
11110910,6614(양천공영차고지~부천남부생태공원),6614,6614
11110967,6716번(양천공영차고지~이대입구),6716번,6716
41110060,6513번(철산동~서울대),6513번,6513
41110061,6616(철산동~온수동),6616,6616
41110065,6638번(철산동~오목교),6638번,6638
11110208,3314번(마천동~종합운동장),3314번,3314
11110209,3315번(마천동~송파구민회관),3315번,3315
11110216,3416번(마천역~세곡리엔파크2단지),3416번,3416
11110956,3214번(마천동~강변역),3214번,3214
11110957,3316번(마천동~천호역),3316번,3316
11110983,3317(마천동~잠실역),3317,3317
11110059,604번(신월동~중구청),604번,604
11110061,606번(부천상동~종로1가),606번,606
11110349,653(외발산동~가산디지털단지역),653,653
11110385,674번(신길운수~연세대),674번,674
11110980,652번(신월동~독산사거리),652번,652
41110067,673번(상동기점~이대부고),673번,673
41110211,"661번(부천상동~영등포역,신세계백화점)",661번,661
11110307,7211번(기자촌~신설동),7211번,7211
11110845,705번(진관공영차고지~롯데영프라자),705번,705
41110012,703번(문산선유리~서울역환승센터),703번,703
41110083,7733번(진관공영차고지~홍대입구),7733번,7733
41110093,9711A번(일산~양재동),9711A번,9711A
41110116,9709번(파주시 맥금동~서울역),9709번,9709
41110204,760번(금촌~영등포),760번,760
91000034,9714번(교하운정~서울역),9714번,9714
11110054,571번(가산동~기자촌),571번,571
11110233,5012번(가산동~용산역),5012번,5012
11110251,5528번(가산동~사당역),5528번,5528
11110076,"750번(A,신촌,수색교~서울대)",750A번,750A
11110312,7711번(덕은동~홍대입구),7711번,7711
11110382,8777번(난지한강공원~월드컵경기장남측),8777번,8777
41110042,740번(덕은동~삼성역),740번,740
41110077,7726번(덕은동~모래내삼거리),7726번,7726
41110078,7727번(설문동~신촌),7727번,7727
11110188,2222번(자양동~고대앞),2222번,2222
11110214,3414번(오금동~고속터미널),3414번,3414
11110391,8331번(마천사거리~잠실역),8331번,8331
11110959,3220번(오금동~청량리),3220번,3220
11110960,2415번(자양동~대치동),2415번,2415
11110961,2221번(자양동~신설동),2221번,2221
11110962,3216번(오금동~청량리),3216번,3216
11110012,141번(도봉산~염곡동),141번,141
11110013,142번(도봉동~고속터미널),142번,142
11110135,1128번(도봉동~도봉동),1128번,1128
11110917,1127번(도봉동~도봉동),1127번,1127
41110052,5625번(안양~영등포역(영등포시장)),5625번,5625
41110053,5626번(안양~온수동),5626번,5626
41110058,5713번(안양비산동차고지~신촌기차역),5713번,5713
11110073,109번(우이동~서울역),109번,109
11110964,1166번(우이동~국민대),1166번,1166
11110970,120번(우이동~청량리),120번,120
11110065,650번(외발산동~서울대입구),650번,650
11110287,6628번(외발산동~여의도),6628번,6628
11110289,6630번(외발산동~영등포시장),6630번,6630
11110359,662번(외발산동~여의나루역),662번,662
11110339,4319번(전원마을~잠실역),4319번,4319
11110340,502(월암공영차고지~한국은행신세계),502,502
41110043,5530번(군포공영차고지~사당역),5530번,5530
41110088,441번(월암공영차고지~신사역),441번,441
41110091,541번(군포공영차고지~강남역),541번,541
41110213,540번(군포공영차고지~강남성모병원),540번,540
11110224,4212번(사당동~중곡역),4212번,4212
11110377,N15번(사당역~우이동),N15번,N15
11111002,4318번(사당동출발.사당동~풍납동),4318번,4318
11111003,4318번(풍납동출발.풍납동~사당동),4318번,4318
11110297,7011번(은평차고지~중구청),7011번,7011
11110334,7013A(은평차고지~남대문시장),7013A,7013A
11110335,7013B(은평차고지~남대문시장),7013B,7013B
41110016,750B번(은평차고지~서울대),750B번,750B
41110070,7016번(은평차고지~상명대),7016번,7016
11110068,720번(기자촌~답십리),720번,720
11110323,7722번(진관공영차고지~녹번역),7722번,7722
11110324,7723번(기자촌~구파발역),7723번,7723
41110013,704번(북한산성~서울역),704번,704
41110104,9703번(일산~서울역),9703번,9703
41110153,N37번(진관공영차고지~송파공영차고지),N37번,N37
41110209,706번(교하차고지~서울역),706번,706
91000005,"8772번(휴일,구파발~대서문입구)",8772번,8772
11110058,603번(신월동~시청),603번,603
11110062,640번(신월동~신논현역),640번,640
11110063,641번(문래동~양재동),641번,641
11110266,6211번(신월동~상왕십리),6211번,6211
11110296,6715번(신월동~상암동),6715번,6715
11110903,6625번(문래동~화곡동),6625번,6625
11110905,6624번(신월동~이대목동병원),6624번,6624
11110018,147번(월계동~도곡동),147번,147
11110139,1132번(월계동~노원역),1132번,1132
11110142,1135번(석계역~중계역),1135번,1135
11110143,1136번(월계동E마트~원자력병원),1136번,1136
11110167,1222번(월계동~용두동),1222번,1222
11110953,202번(불암동~후암동),202번,202
41110023,1155번(남양주청학리~석계역),1155번,1155
41110024,1156번(퇴계원~석계역),1156번,1156
11110174,2014번(성수동~동대문운동장),2014번,2014
11110196,2413번(성수동~개포동),2413번,2413
11110267,6411번(구로동~개포동),6411번,6411
11110268,6511번(구로동~서울대),6511번,6511
11110271,6611번(신도림역~우성아파트),6611번,6611
11110381,362번(송파공영차고지~여의도),362번,362
11110907,2224번(성수동~강변역),2224번,2224
11410011,2412번(성수동~세곡동사거리),2412번,2412
11110053,501번(서울대~종로2가),501번,501
11110236,5511번(서울대~중앙대),5511번,5511
11110238,5513번(서울대~벽산블루밍아파트),5513번,5513
11110241,5516번(신림2동차고지~노량진),5516번,5516
11110242,5517번(시흥2동벽산아파트~중앙대),5517번,5517
11110257,5616번(가산동~등촌동),5616번,5616
11110265,5712번(가산동~홍대입구역),5712번,5712
11110912,506번(신림동~종로1가),506번,506
11110202,3217번(거여동~어린이대공원),3217번,3217
11110207,3313번(거여아파트단지앞~잠실역.롯데월드),3313번,3313
11110360,350번(송파공영차고지~노들역),350번,350
11110419,3322번(송파차고지~잠실종합운동장),3322번,3322
11110327,7730번(은평공영차고지~이북오도청),7730번,7730
11110897,0017번(청암동~이촌동),0017번,17
41110071,7017번(은평공영차고지~롯데백화점),7017번,7017
41110072,7021번(은평공영차고지~롯데백화점),7021번,7021
11110001,100번(하계동~용산구청),100번,100
11110028,172번(하계동~월드컵2.3단지),172번,172
11110115,1017번(월계동~상왕십리),1017번,1017
11110126,1120번(덕성여대~하계동),1120번,1120
11110151,1144번(하계동~삼양사거리),1144번,1144
11110155,1154번(하계동~장암동),1154번,1154
11110982,1227번(하계동~제기동),1227번,1227
11110016,145번(번동~강남역),145번,145
11110117,1111번(번동~성북동),1111번,1111
11110131,1124번(수유역~미아삼거리역),1124번,1124
11110163,1218번(수유역~답십리),1218번,1218
11110942,148번(번동~방배동),148번,148
41110007,504번(광명공영차고지~남대문),504번,504
41110048,5535번(하안동~노량진),5535번,5535
41110049,5536번(하안동~노량진),5536번,5536
41110062,6635번(광명공영차고지~구로디지탈단지역),6635번,6635
11110304,7019번(은평공영차고지~시청(서소문)),7019번,7019
11110308,7611번(은평차고지~여의도),7611번,7611
11110309,7612번(홍은동~영등포),7612번,7612
